06-01819_Timestamps,Battery Percent% Battery P7,Battery Voltage mV Battery P7,Reference Pressure kPa Barometer P8,Logger Temperature °C Barometer P8
2018-09-06 10:15:00,100,6824,87.22,19.5
2018-09-06 10:30:00,100,6828,87.24,21.5
2018-09-06 10:45:00,100,6831,87.23,22.5
2018-09-06 11:00:00,100,6838,87.21,23.8
2018-09-06 11:15:00,100,6840,87.19,24.8
2018-09-06 11:30:00,100,6844,87.19,25.7
2018-09-06 11:45:00,100,6851,87.2,26.8
2018-09-06 12:00:00,100,6853,87.19,27.7
2018-09-06 12:15:00,100,6859,87.16,28.1
2018-09-06 12:30:00,100,6867,87.15,28.7
2018-09-06 12:45:00,100,6869,87.13,30.1
2018-09-06 13:00:00,100,6873,87.12,31.3
2018-09-06 13:15:00,100,6874,87.1,31.5
2018-09-06 13:30:00,100,6880,87.09,31.1
2018-09-06 13:45:00,100,6885,87.06,32.0
2018-09-06 14:00:00,100,6891,87.04,32.8
2018-09-06 14:15:00,100,6891,87.01,33.1
2018-09-06 14:30:00,100,6879,87.01,31.9
2018-09-06 14:45:00,100,6878,87.01,30.0
2018-09-06 15:00:00,100,6880,87.0,30.1
2018-09-06 15:15:00,100,6877,86.99,29.8
2018-09-06 15:30:00,100,6872,86.98,29.3
2018-09-06 15:45:00,100,6875,86.96,29.8
2018-09-06 16:00:00,100,6877,86.95,29.8
2018-09-06 16:15:00,100,6887,86.93,30.7
2018-09-06 16:30:00,100,6889,86.92,32.3
2018-09-06 16:45:00,100,6884,86.92,32.5
2018-09-06 17:00:00,100,6877,86.93,30.9
2018-09-06 17:15:00,100,6870,86.92,29.5
2018-09-06 17:30:00,100,6866,86.91,28.9
2018-09-06 17:45:00,100,6865,86.91,28.2
2018-09-06 18:00:00,100,6864,86.89,28.0
2018-09-06 18:15:00,100,6859,86.88,27.9
2018-09-06 18:30:00,100,6853,86.89,27.2
2018-09-06 18:45:00,100,6852,86.9,26.5
2018-09-06 19:00:00,100,6850,86.9,25.8
2018-09-06 19:15:00,100,6842,86.91,25.0
2018-09-06 19:30:00,100,6842,86.91,24.4
2018-09-06 19:45:00,100,6837,86.92,23.9
2018-09-06 20:00:00,100,6837,86.93,23.7
2018-09-06 20:15:00,100,6837,86.94,23.6
2018-09-06 20:30:00,100,6832,86.96,23.6
2018-09-06 20:45:00,100,6832,86.97,23.3
2018-09-06 21:00:00,100,6829,87.01,22.9
2018-09-06 21:15:00,100,6828,87.06,22.4
2018-09-06 21:30:00,100,6824,87.11,21.8
2018-09-06 21:45:00,100,6821,87.13,21.3
2018-09-06 22:00:00,100,6821,87.14,21.0
2018-09-06 22:15:00,100,6820,87.13,20.6
2018-09-06 22:30:00,100,6816,87.14,20.3
2018-09-06 22:45:00,100,6815,87.13,19.9
2018-09-06 23:00:00,100,6814,87.12,19.6
2018-09-06 23:15:00,100,6812,87.13,19.5
2018-09-06 23:30:00,100,6814,87.12,19.7
2018-09-06 23:45:00,100,6814,87.11,19.8
2018-09-07 00:00:00,100,6811,87.1,19.6
2018-09-07 00:15:00,100,6822,87.09,19.8
2018-09-07 00:30:00,100,6821,87.09,19.7
2018-09-07 00:45:00,100,6823,87.1,19.5
2018-09-07 01:00:00,100,6824,87.11,19.2
2018-09-07 01:15:00,100,6821,87.11,18.9
2018-09-07 01:30:00,100,6821,87.13,18.8
2018-09-07 01:45:00,100,6821,87.12,19.0
2018-09-07 02:00:00,100,6820,87.14,19.3
2018-09-07 02:15:00,100,6818,87.13,18.8
2018-09-07 02:30:00,100,6815,87.12,17.9
2018-09-07 02:45:00,100,6815,87.13,17.0
2018-09-07 03:00:00,100,6812,87.12,16.5
2018-09-07 03:15:00,100,6809,87.12,16.1
2018-09-07 03:30:00,100,6810,87.11,15.8
2018-09-07 03:45:00,100,6812,87.11,15.7
2018-09-07 04:00:00,100,6808,87.09,15.6
2018-09-07 04:15:00,100,6805,87.09,15.5
2018-09-07 04:30:00,100,6804,87.09,15.0
2018-09-07 04:45:00,100,6812,87.09,14.4
2018-09-07 05:00:00,100,6810,87.09,14.2
2018-09-07 05:15:00,100,6804,87.09,14.4
2018-09-07 05:30:00,100,6803,87.1,14.7
2018-09-07 05:45:00,100,6809,87.09,15.0
2018-09-07 06:00:00,100,6809,87.09,15.1
